Semana,Día,Hora,ID_Persona,Trayectoria_Tipo,Zona,Duracion_Zona_Min,Duracion_Total_Min,Timestamp
1,Lunes (07/09),09:00-10:00,1,Secundaria,mostradores,9.5,12.2,2025-07-09T09:17:00
1,Lunes (07/09),09:00-10:00,2,Principal,mostradores,5.0,5.0,2025-07-09T09:24:00
1,Lunes (07/09),09:00-10:00,3,Principal,mostradores,6.5,6.5,2025-07-09T09:33:00
1,Lunes (07/09),09:00-10:00,4,Principal,mostradores,5.0,5.0,2025-07-09T09:56:00
1,Lunes (07/09),09:00-10:00,5,Principal,mostradores,6.0,6.0,2025-07-09T09:14:00
1,Lunes (07/09),09:00-10:00,6,Principal,mostradores,10.0,10.0,2025-07-09T09:15:00
1,Lunes (07/09),09:00-10:00,7,Principal,mostradores,7.6,7.6,2025-07-09T09:46:00
1,Lunes (07/09),09:00-10:00,8,Principal,mostradores,8.1,8.1,2025-07-09T09:14:00
1,Lunes (07/09),09:00-10:00,9,Principal,mostradores,7.7,7.7,2025-07-09T09:26:00
1,Lunes (07/09),09:00-10:00,10,Principal,mostradores,5.0,5.0,2025-07-09T09:43:00
1,Lunes (07/09),09:00-10:00,11,Principal,mostradores,9.8,9.8,2025-07-09T09:53:00
1,Lunes (07/09),09:00-10:00,12,Principal,mostradores,7.2,7.2,2025-07-09T09:28:00
1,Lunes (07/09),09:00-10:00,13,Secundaria,mostradores,8.3,11.3,2025-07-09T09:34:00
1,Lunes (07/09),09:00-10:00,14,Principal,mostradores,6.1,6.1,2025-07-09T09:54:00
1,Lunes (07/09),09:00-10:00,15,Principal,mostradores,5.5,5.5,2025-07-09T09:19:00
1,Lunes (07/09),09:00-10:00,16,Principal,mostradores,9.7,9.7,2025-07-09T09:25:00
1,Lunes (07/09),09:00-10:00,17,Principal,mostradores,6.1,6.1,2025-07-09T09:10:00
1,Lunes (07/09),10:00-11:00,18,Secundaria,mostradores,8.2,11.2,2025-07-09T10:09:00
1,Lunes (07/09),10:00-11:00,19,Principal,mostradores,5.5,5.5,2025-07-09T10:57:00
1,Lunes (07/09),10:00-11:00,20,Principal,mostradores,6.1,6.1,2025-07-09T10:25:00
1,Lunes (07/09),10:00-11:00,21,Principal,mostradores,7.6,7.6,2025-07-09T10:51:00
1,Lunes (07/09),10:00-11:00,22,Principal,mostradores,8.0,8.0,2025-07-09T10:10:00
1,Lunes (07/09),10:00-11:00,23,Principal,mostradores,6.2,6.2,2025-07-09T10:39:00
1,Lunes (07/09),10:00-11:00,24,Principal,mostradores,8.3,8.3,2025-07-09T10:46:00
1,Lunes (07/09),10:00-11:00,25,Principal,mostradores,10.0,10.0,2025-07-09T10:41:00
1,Lunes (07/09),10:00-11:00,26,Principal,mostradores,5.7,5.7,2025-07-09T10:03:00
1,Lunes (07/09),10:00-11:00,27,Principal,mostradores,7.1,7.1,2025-07-09T10:26:00
1,Lunes (07/09),10:00-11:00,28,Principal,mostradores,6.7,6.7,2025-07-09T10:12:00
1,Lunes (07/09),10:00-11:00,29,Secundaria,mostradores,5.0,7.3,2025-07-09T10:11:00
